="Table 4: Heterogeneity Analysis"


="1.female#c.claim_age_c62",="",="-0.00394",="",="",=""
="",="",="(0.0187)",="",="",=""

="0.educ_col_plus",="",="",="0",="",=""
="",="",="",="(.)",="",=""

="1.educ_col_plus",="",="",="0.220***",="",=""
="",="",="",="(0.0521)",="",=""

="0.educ_col_plus#c.claim_age_c62",="",="",="0",="",=""
="",="",="",="(.)",="",=""

="1.educ_col_plus#c.claim_age_c62",="",="",="-0.00831",="",=""
="",="",="",="(0.0197)",="",=""

="0.low_wealth",="",="",="",="0",=""
="",="",="",="",="(.)",=""

="1.low_wealth",="",="",="",="-0.357***",=""
="",="",="",="",="(0.0546)",=""

="0.low_wealth#c.claim_age_c62",="",="",="",="0",=""
="",="",="",="",="(.)",=""

="1.low_wealth#c.claim_age_c62",="",="",="",="0.00207",=""
="",="",="",="",="(0.0239)",=""

="0.low_surv_exp",="",="",="",="",="0"
="",="",="",="",="",="(.)"

="1.low_surv_exp",="",="",="",="",="0.153"
="",="",="",="",="",="(0.188)"

="0.low_surv_exp#c.claim_age_c62",="",="",="",="",="0"
="",="",="",="",="",="(.)"

="1.low_surv_exp#c.claim_age_c62",="",="",="",="",="-0.344"
="",="",="",="",="",="(0.234)"

="_cons",="0.928",="0.784",="0.638",="1.217",="-17.82"
="",="(1.696)",="(1.693)",="(1.688)",="(1.696)",="(32.09)"

="N",="19032",="19032",="19032",="19032",="984"
="r2_a",="0.179",="0.179",="0.178",="0.187",="0.213"

="Standard errors in parentheses"
="Survival expectations model uses restricted sample (N~984)"
="Education interaction: b=-0.008, p=0.673"
="* p<0.05, ** p<0.01, *** p<0.001"
